Datum,Uhrzeit,Spannung (V),Strom (A),Leistung (P)
21.06.2020,13:59:01,11.374977963860731,0.3404255319148936,3.8723329238674826
21.06.2020,13:59:02,11.382172763331866,0.3617021276595745,4.116956105885994
21.06.2020,13:59:02,11.353393565447334,0.3617021276595745,4.106546608778823
21.06.2020,13:59:02,11.346198765976201,0.37234042553191493,4.224648476693266
21.06.2020,13:59:03,11.353393565447334,0.3617021276595745,4.106546608778823
21.06.2020,13:59:03,11.346198765976201,0.3404255319148936,3.862535750119558
21.06.2020,13:59:04,11.3677831643896,0.3404255319148936,3.869883630430502
21.06.2020,13:59:04,11.360588364918467,0.30851063829787234,3.5048623679003783
21.06.2020,13:59:05,11.353393565447334,0.3404255319148936,3.864985043556539
21.06.2020,13:59:05,11.353393565447334,0.37234042553191493,4.227327391389966
21.06.2020,13:59:05,11.382172763331866,0.35106382978723405,3.9958691615952295
21.06.2020,13:59:06,11.360588364918467,0.3617021276595745,4.109148983055616
21.06.2020,13:59:06,11.39656236227413,0.3404255319148936,3.879680804178427
21.06.2020,13:59:07,11.382172763331866,0.3404255319148936,3.874782217304465
21.06.2020,13:59:07,11.39656236227413,0.37234042553191493,4.243400879570156
21.06.2020,13:59:08,11.331809167033935,0.3404255319148936,3.857637163245595
21.06.2020,13:59:08,11.3677831643896,0.35106382978723405,3.9908174938814556
21.06.2020,13:59:09,11.3677831643896,0.3829787234042554,4.353619084234316
21.06.2020,13:59:09,11.331809167033935,0.32978723404255317,3.73708600189417
21.06.2020,13:59:09,11.346198765976201,0.3404255319148936,3.862535750119558
21.06.2020,13:59:10,11.331809167033935,0.37234042553191493,4.21929064729987
21.06.2020,13:59:10,11.410951961216396,0.35106382978723405,4.0059724970227775
21.06.2020,13:59:11,11.360588364918467,0.3191489361702127,3.625719690931425
21.06.2020,13:59:11,11.389367562802997,0.3617021276595745,4.1195584801627865
21.06.2020,13:59:12,11.353393565447334,0.3191489361702127,3.623423478334255
21.06.2020,13:59:12,11.353393565447334,0.32978723404255317,3.744204260945397
21.06.2020,13:59:12,11.382172763331866,0.2978723404255319,3.390434440141407
